disease,MEDICATION:
Bacterial Vaginitis,metronidazole; clindamycin; metronidazole; clindamycin; acetic acid; tinidazole; secnidazole; metronidazole; clindamycin; metronidazole; clindamycin; acetic acid; tinidazole; secnidazole
Vertigo,meclizine; promethazine; meclizine; promethazine; meclizine; promethazine; meclizine; promethazine; meclizine; promethazine; meclizine; promethazine; meclizine; promethazine
Balanoposthitis,clotrimazole; metronidazole; miconazole; clotrimazole; metronidazole; miconazole
Balantidium coli,metronidazole
Tinea Barbae,griseofulvin; griseofulvin; griseofulvin; griseofulvin; griseofulvin
Barium Meal Transit,sincalide
Barium Poisoning,magnesium sulfate
Mitral Valve Prolapse,atenolol; metoprolol; propranolol; bisoprolol; nebivolol; nadolol; labetalol; atenolol; metoprolol; propranolol; bisoprolol; nebivolol; nadolol; labetalol; atenolol; metoprolol; propranolol; bisoprolol; nebivolol; nadolol; labetalol; atenolol; metoprolol; propranolol; bisoprolol; nebivolol; nadolol; labetalol; atenolol; metoprolol; propranolol; bisoprolol; nebivolol; nadolol; labetalol; atenolol; metoprolol; propranolol; bisoprolol; nebivolol; nadolol; labetalol; atenolol; metoprolol; propranolol; bisoprolol; nebivolol; nadolol; labetalol
Barrett's Esophagus,omeprazole; pantoprazole; esomeprazole; lansoprazole; rabeprazole; dexlansoprazole; omeprazole; pantoprazole; esomeprazole; lansoprazole; rabeprazole; dexlansoprazole
Bartonellosis,rifampin; doxycycline; azithromycin; minocycline; erythromycin; rifampin; doxycycline; azithromycin; minocycline; erythromycin; rifampin; doxycycline; azithromycin; minocycline; erythromycin; rifampin; doxycycline; azithromycin; minocycline; erythromycin
Bartter Syndrome,indomethacin
Basal Cell Carcinoma,fluorouracil; imiquimod; vismodegib; sonidegib; fluorouracil; imiquimod; vismodegib; sonidegib; fluorouracil; imiquimod; vismodegib; sonidegib; fluorouracil; imiquimod; vismodegib; sonidegib; fluorouracil; imiquimod; vismodegib; sonidegib; fluorouracil; imiquimod; vismodegib; sonidegib
Migraine,sumatriptan; rizatriptan; gabapentin; aspirin / butalbital / caffeine; cyclobenzaprine; diclofenac; naratriptan; almotriptan; zolmitriptan; eletriptan; sumatriptan; rizatriptan; gabapentin; aspirin / butalbital / caffeine; cyclobenzaprine; diclofenac; naratriptan; almotriptan; zolmitriptan; eletriptan; sumatriptan; rizatriptan; gabapentin; aspirin / butalbital / caffeine; cyclobenzaprine; diclofenac; naratriptan; almotriptan; zolmitriptan; eletriptan; sumatriptan; rizatriptan; gabapentin; aspirin / butalbital / caffeine; cyclobenzaprine; diclofenac; naratriptan; almotriptan; zolmitriptan; eletriptan; sumatriptan; rizatriptan; gabapentin; aspirin / butalbital / caffeine; cyclobenzaprine; diclofenac; naratriptan; almotriptan; zolmitriptan; eletriptan; sumatriptan; rizatriptan; gabapentin; aspirin / butalbital / caffeine; cyclobenzaprine; diclofenac; naratriptan; almotriptan; zolmitriptan; eletriptan
Body Dysmorphic Disorder,escitalopram; fluoxetine; sertraline; citalopram; risperidone; paroxetine; olanzapine; ziprasidone; fluvoxamine; escitalopram; fluoxetine; sertraline; citalopram; risperidone; paroxetine; olanzapine; ziprasidone; fluvoxamine
Binge Eating Disorder,fluoxetine; lisdexamfetamine; fluoxetine; lisdexamfetamine
Dermal Ulcer,collagenase; becaplermin; cadexomer iodine; collagenase; becaplermin; cadexomer iodine; collagenase; becaplermin; cadexomer iodine; collagenase; becaplermin; cadexomer iodine; collagenase; becaplermin; cadexomer iodine; collagenase; becaplermin; cadexomer iodine; collagenase; becaplermin; cadexomer iodine; collagenase; becaplermin; cadexomer iodine; collagenase; becaplermin; cadexomer iodine; collagenase; becaplermin; cadexomer iodine; collagenase; becaplermin; cadexomer iodine
Enuresis,imipramine; belladonna; imipramine; belladonna; imipramine; belladonna
Beef Tapeworm Infection (Taenia saginata),praziquantel; paromomycin; praziquantel; paromomycin
Behcet's Disease,colchicine; azathioprine; infliximab; adalimumab; etanercept; apremilast
Bejel,penicillin g benzathine; penicillin g benzathine; penicillin g benzathine; penicillin g benzathine; penicillin g benzathine; penicillin g benzathine; penicillin g benzathine
Gas,simethicone; aluminum hydroxide / magnesium hydroxide / simethicone; simethicone; aluminum hydroxide / magnesium hydroxide / simethicone; simethicone; aluminum hydroxide / magnesium hydroxide / simethicone; simethicone; aluminum hydroxide / magnesium hydroxide / simethicone; simethicone; aluminum hydroxide / magnesium hydroxide / simethicone; simethicone; aluminum hydroxide / magnesium hydroxide / simethicone
Benign Essential Tremor,propranolol; primidone; gabapentin; nadolol; metoprolol; zonisamide; propranolol; primidone; gabapentin; nadolol; metoprolol; zonisamide
Muscle Twitching (Fasciculations),baclofen; baclofen; baclofen; baclofen; baclofen
Pseudotumor Cerebri,acetazolamide; acetazolamide; acetazolamide; acetazolamide; acetazolamide; acetazolamide
Chronic Fatigue Syndrome,modafinil; duloxetine; lisdexamfetamine; amantadine; armodafinil; modafinil; duloxetine; lisdexamfetamine; amantadine; armodafinil; modafinil; duloxetine; lisdexamfetamine; amantadine; armodafinil; modafinil; duloxetine; lisdexamfetamine; amantadine; armodafinil; modafinil; duloxetine; lisdexamfetamine; amantadine; armodafinil; modafinil; duloxetine; lisdexamfetamine; amantadine; armodafinil; modafinil; duloxetine; lisdexamfetamine; amantadine; armodafinil; modafinil; duloxetine; lisdexamfetamine; amantadine; armodafinil; modafinil; duloxetine; lisdexamfetamine; amantadine; armodafinil; modafinil; duloxetine; lisdexamfetamine; amantadine; armodafinil; modafinil; duloxetine; lisdexamfetamine; amantadine; armodafinil; modafinil; duloxetine; lisdexamfetamine; amantadine; armodafinil
Benign Prostatic Hyperplasia,tamsulosin; finasteride; doxazosin; terazosin; alfuzosin; tadalafil; dutasteride; prazosin; silodosin; dutasteride / tamsulosin; tamsulosin; finasteride; doxazosin; terazosin; alfuzosin; tadalafil; dutasteride; prazosin; silodosin; dutasteride / tamsulosin; tamsulosin; finasteride; doxazosin; terazosin; alfuzosin; tadalafil; dutasteride; prazosin; silodosin; dutasteride / tamsulosin; tamsulosin; finasteride; doxazosin; terazosin; alfuzosin; tadalafil; dutasteride; prazosin; silodosin; dutasteride / tamsulosin; tamsulosin; finasteride; doxazosin; terazosin; alfuzosin; tadalafil; dutasteride; prazosin; silodosin; dutasteride / tamsulosin; tamsulosin; finasteride; doxazosin; terazosin; alfuzosin; tadalafil; dutasteride; prazosin; silodosin; dutasteride / tamsulosin
Benzodiazepine Overdose,flumazenil
Benzodiazepine Withdrawal,clonazepam; clonidine
IgA Nephropathy,cyclophosphamide; cyclophosphamide; cyclophosphamide
Beriberi,thiamine
Berylliosis,prednisone; triamcinolone; cortisone; prednisone; triamcinolone; cortisone; prednisone; triamcinolone; cortisone; prednisone; triamcinolone; cortisone
Beta Thalassemia,luspatercept
Neurofibromatosis,bevacizumab; bevacizumab; bevacizumab; bevacizumab; bevacizumab; bevacizumab; bevacizumab; bevacizumab; bevacizumab
Bile Acid Synthesis Disorders,cholic acid
Primary Biliary Cholangitis,ursodiol; colchicine; azathioprine; obeticholic acid; ursodiol; colchicine; azathioprine; obeticholic acid; ursodiol; colchicine; azathioprine; obeticholic acid; ursodiol; colchicine; azathioprine; obeticholic acid; ursodiol; colchicine; azathioprine; obeticholic acid
Bipolar Disorder,lamotrigine; lithium; quetiapine; gabapentin; clonazepam; divalproex sodium; bupropion; oxcarbazepine; risperidone; sertraline; aripiprazole; topiramate; olanzapine; venlafaxine; lamotrigine; lithium; quetiapine; gabapentin; clonazepam; divalproex sodium; bupropion; oxcarbazepine; risperidone; sertraline; aripiprazole; topiramate; olanzapine; venlafaxine; lamotrigine; lithium; quetiapine; gabapentin; clonazepam; divalproex sodium; bupropion; oxcarbazepine; risperidone; sertraline; aripiprazole; topiramate; olanzapine; venlafaxine; lamotrigine; lithium; quetiapine; gabapentin; clonazepam; divalproex sodium; bupropion; oxcarbazepine; risperidone; sertraline; aripiprazole; topiramate; olanzapine; venlafaxine; lamotrigine; lithium; quetiapine; gabapentin; clonazepam; divalproex sodium; bupropion; oxcarbazepine; risperidone; sertraline; aripiprazole; topiramate; olanzapine; venlafaxine; lamotrigine; lithium; quetiapine; gabapentin; clonazepam; divalproex sodium; bupropion; oxcarbazepine; risperidone; sertraline; aripiprazole; topiramate; olanzapine; venlafaxine; lamotrigine; lithium; quetiapine; gabapentin; clonazepam; divalproex sodium; bupropion; oxcarbazepine; risperidone; sertraline; aripiprazole; topiramate; olanzapine; venlafaxine; lamotrigine; lithium; quetiapine; gabapentin; clonazepam; divalproex sodium; bupropion; oxcarbazepine; risperidone; sertraline; aripiprazole; topiramate; olanzapine; venlafaxine; lamotrigine; lithium; quetiapine; gabapentin; clonazepam; divalproex sodium; bupropion; oxcarbazepine; risperidone; sertraline; aripiprazole; topiramate; olanzapine; venlafaxine
Birth Control (Contraception),levonorgestrel; norethindrone; ethinyl estradiol / norgestimate; ethinyl estradiol / levonorgestrel; ethinyl estradiol / norethindrone; medroxyprogesterone; levonorgestrel; norethindrone; ethinyl estradiol / norgestimate; ethinyl estradiol / levonorgestrel; ethinyl estradiol / norethindrone; medroxyprogesterone
Hemangioma,propranolol; propranolol; propranolol; propranolol; propranolol; propranolol
Urinary Tract Stones,tamsulosin; allopurinol; magnesium oxide; citric acid / potassium citrate; citric acid / sodium citrate; tamsulosin; allopurinol; magnesium oxide; citric acid / potassium citrate; citric acid / sodium citrate; tamsulosin; allopurinol; magnesium oxide; citric acid / potassium citrate; citric acid / sodium citrate; tamsulosin; allopurinol; magnesium oxide; citric acid / potassium citrate; citric acid / sodium citrate; tamsulosin; allopurinol; magnesium oxide; citric acid / potassium citrate; citric acid / sodium citrate; tamsulosin; allopurinol; magnesium oxide; citric acid / potassium citrate; citric acid / sodium citrate
Bladder Cancer,mitomycin; cisplatin; atezolizumab; methotrexate; doxorubicin; thiotepa; cyclophosphamide; erdafitinib; mitomycin; cisplatin; atezolizumab; methotrexate; doxorubicin; thiotepa; cyclophosphamide; erdafitinib
Overactive Bladder,darifenacin; onabotulinumtoxinA; darifenacin; onabotulinumtoxinA; darifenacin; onabotulinumtoxinA; darifenacin; onabotulinumtoxinA; darifenacin; onabotulinumtoxinA; darifenacin; onabotulinumtoxinA
Bladder Infection,ciprofloxacin; nitrofurantoin; cephalexin; amoxicillin; levofloxacin; trimethoprim; cefuroxime; methenamine; cefpodoxime; fosfomycin; ciprofloxacin; nitrofurantoin; cephalexin; amoxicillin; levofloxacin; trimethoprim; cefuroxime; methenamine; cefpodoxime; fosfomycin; ciprofloxacin; nitrofurantoin; cephalexin; amoxicillin; levofloxacin; trimethoprim; cefuroxime; methenamine; cefpodoxime; fosfomycin
Interstitial Cystitis,phenazopyridine; amitriptyline; hydroxyzine; pentosan polysulfate sodium; trospium; imipramine; dimethyl sulfoxide; phenazopyridine; amitriptyline; hydroxyzine; pentosan polysulfate sodium; trospium; imipramine; dimethyl sulfoxide; phenazopyridine; amitriptyline; hydroxyzine; pentosan polysulfate sodium; trospium; imipramine; dimethyl sulfoxide
Urinary Incontinence,oxybutynin; tolterodine; amitriptyline; mirabegron; solifenacin; hyoscyamine; trospium; duloxetine; fesoterodine; darifenacin; oxybutynin; tolterodine; amitriptyline; mirabegron; solifenacin; hyoscyamine; trospium; duloxetine; fesoterodine; darifenacin; oxybutynin; tolterodine; amitriptyline; mirabegron; solifenacin; hyoscyamine; trospium; duloxetine; fesoterodine; darifenacin; oxybutynin; tolterodine; amitriptyline; mirabegron; solifenacin; hyoscyamine; trospium; duloxetine; fesoterodine; darifenacin; oxybutynin; tolterodine; amitriptyline; mirabegron; solifenacin; hyoscyamine; trospium; duloxetine; fesoterodine; darifenacin; oxybutynin; tolterodine; amitriptyline; mirabegron; solifenacin; hyoscyamine; trospium; duloxetine; fesoterodine; darifenacin
Blastomycosis,fluconazole; itraconazole; ketoconazole; voriconazole; amphotericin b; amphotericin b lipid complex
Bleeding Disorder,"tranexamic acid; goserelin; dextran, high molecular weight; tranexamic acid; goserelin; dextran, high molecular weight; tranexamic acid; goserelin; dextran, high molecular weight; tranexamic acid; goserelin; dextran, high molecular weight"
Blepharitis,dexamethasone / neomycin / polymyxin b; bacitracin / polymyxin b; prednisolone / sulfacetamide sodium; bacitracin / neomycin / polymyxin b; hydrocortisone / neomycin / polymyxin b; gentamicin / prednisolone
Blepharoconjunctivitis,polymyxin b / trimethoprim; bacitracin / polymyxin b; bacitracin / neomycin / polymyxin b
Blepharospasm,incobotulinumtoxinA; onabotulinumtoxinA
Nasal Congestion,pseudoephedrine; phenylephrine; oxymetazoline; loratadine / pseudoephedrine; sodium chloride; phenylephrine; epinephrine; xylometazoline; pseudoephedrine; phenylephrine; oxymetazoline; loratadine / pseudoephedrine; sodium chloride; phenylephrine; epinephrine; xylometazoline
Blood Cell Transplantation,cisplatin
Deep Vein Thrombosis,enoxaparin; rivaroxaban; heparin; apixaban; dabigatran; fondaparinux; edoxaban; urokinase; enoxaparin; rivaroxaban; heparin; apixaban; dabigatran; fondaparinux; edoxaban; urokinase; enoxaparin; rivaroxaban; heparin; apixaban; dabigatran; fondaparinux; edoxaban; urokinase; enoxaparin; rivaroxaban; heparin; apixaban; dabigatran; fondaparinux; edoxaban; urokinase; enoxaparin; rivaroxaban; heparin; apixaban; dabigatran; fondaparinux; edoxaban; urokinase
Blood Disorders,hetastarch
Burning Mouth Syndrome (Glossopyrosis),clonazepam; gabapentin; lidocaine; amitriptyline; nortriptyline; capsaicin; chlordiazepoxide; clonazepam; gabapentin; lidocaine; amitriptyline; nortriptyline; capsaicin; chlordiazepoxide; clonazepam; gabapentin; lidocaine; amitriptyline; nortriptyline; capsaicin; chlordiazepoxide
Body Imaging,iohexol; ioversol
Lice,permethrin; lindane; piperonyl butoxide / pyrethrins; spinosad; permethrin; lindane; piperonyl butoxide / pyrethrins; spinosad; permethrin; lindane; piperonyl butoxide / pyrethrins; spinosad; permethrin; lindane; piperonyl butoxide / pyrethrins; spinosad; permethrin; lindane; piperonyl butoxide / pyrethrins; spinosad; permethrin; lindane; piperonyl butoxide / pyrethrins; spinosad; permethrin; lindane; piperonyl butoxide / pyrethrins; spinosad
Tinea Corporis,betamethasone / clotrimazole; ketoconazole; clotrimazole; terbinafine; miconazole; fluconazole; econazole; ketoconazole; griseofulvin; tolnaftate; terbinafine; ciclopirox; betamethasone / clotrimazole; ketoconazole; clotrimazole; terbinafine; miconazole; fluconazole; econazole; ketoconazole; griseofulvin; tolnaftate; terbinafine; ciclopirox; betamethasone / clotrimazole; ketoconazole; clotrimazole; terbinafine; miconazole; fluconazole; econazole; ketoconazole; griseofulvin; tolnaftate; terbinafine; ciclopirox; betamethasone / clotrimazole; ketoconazole; clotrimazole; terbinafine; miconazole; fluconazole; econazole; ketoconazole; griseofulvin; tolnaftate; terbinafine; ciclopirox; betamethasone / clotrimazole; ketoconazole; clotrimazole; terbinafine; miconazole; fluconazole; econazole; ketoconazole; griseofulvin; tolnaftate; terbinafine; ciclopirox; betamethasone / clotrimazole; ketoconazole; clotrimazole; terbinafine; miconazole; fluconazole; econazole; ketoconazole; griseofulvin; tolnaftate; terbinafine; ciclopirox; betamethasone / clotrimazole; ketoconazole; clotrimazole; terbinafine; miconazole; fluconazole; econazole; ketoconazole; griseofulvin; tolnaftate; terbinafine; ciclopirox; betamethasone / clotrimazole; ketoconazole; clotrimazole; terbinafine; miconazole; fluconazole; econazole; ketoconazole; griseofulvin; tolnaftate; terbinafine; ciclopirox; betamethasone / clotrimazole; ketoconazole; clotrimazole; terbinafine; miconazole; fluconazole; econazole; ketoconazole; griseofulvin; tolnaftate; terbinafine; ciclopirox
Osteosarcoma,methotrexate; doxorubicin; cyclophosphamide; dactinomycin; methotrexate; doxorubicin; cyclophosphamide; dactinomycin; methotrexate; doxorubicin; cyclophosphamide; dactinomycin; methotrexate; doxorubicin; cyclophosphamide; dactinomycin; methotrexate; doxorubicin; cyclophosphamide; dactinomycin; methotrexate; doxorubicin; cyclophosphamide; dactinomycin
Bone infection (Osteomyelitis),cephalexin; clindamycin; vancomycin; ciprofloxacin; ceftriaxone; cefazolin; cefuroxime; metronidazole; piperacillin / tazobactam; dicloxacillin; cefotaxime; ceftazidime; gentamicin; ofloxacin; cephalexin; clindamycin; vancomycin; ciprofloxacin; ceftriaxone; cefazolin; cefuroxime; metronidazole; piperacillin / tazobactam; dicloxacillin; cefotaxime; ceftazidime; gentamicin; ofloxacin
Bone Marrow Transplantation,fluconazole; filgrastim; busulfan; immune globulin intravenous; cisplatin; sargramostim
"Bone Marrow Transplantation, Failure or Engraftment Delay",sargramostim
"Bone Marrow Transplantation, Myeloid Reconstruction",sargramostim
Osteolytic Bone Metastases of Solid Tumors,denosumab; zoledronic acid; denosumab; zoledronic acid
"Breast Cancer, Bone Metastases",pamidronate; pamidronate
Osteoporosis,alendronate; calcium / vitamin d; calcium carbonate; risedronate; denosumab; ibandronate; hydrochlorothiazide; raloxifene; calcitonin; estradiol; teriparatide; zoledronic acid; alendronate; calcium / vitamin d; calcium carbonate; risedronate; denosumab; ibandronate; hydrochlorothiazide; raloxifene; calcitonin; estradiol; teriparatide; zoledronic acid
Borderline Personality Disorder,quetiapine; lamotrigine; lithium; risperidone; fluoxetine; olanzapine; buspirone; clonazepam; sertraline; aripiprazole; topiramate; diazepam; lorazepam; escitalopram; divalproex sodium; alprazolam; clozapine; oxcarbazepine; citalopram; haloperidol; lurasidone; l-methylfolate; carbamazepine; asenapine; paliperidone; quetiapine; lamotrigine; lithium; risperidone; fluoxetine; olanzapine; buspirone; clonazepam; sertraline; aripiprazole; topiramate; diazepam; lorazepam; escitalopram; divalproex sodium; alprazolam; clozapine; oxcarbazepine; citalopram; haloperidol; lurasidone; l-methylfolate; carbamazepine; asenapine; paliperidone; quetiapine; lamotrigine; lithium; risperidone; fluoxetine; olanzapine; buspirone; clonazepam; sertraline; aripiprazole; topiramate; diazepam; lorazepam; escitalopram; divalproex sodium; alprazolam; clozapine; oxcarbazepine; citalopram; haloperidol; lurasidone; l-methylfolate; carbamazepine; asenapine; paliperidone; quetiapine; lamotrigine; lithium; risperidone; fluoxetine; olanzapine; buspirone; clonazepam; sertraline; aripiprazole; topiramate; diazepam; lorazepam; escitalopram; divalproex sodium; alprazolam; clozapine; oxcarbazepine; citalopram; haloperidol; lurasidone; l-methylfolate; carbamazepine; asenapine; paliperidone; quetiapine; lamotrigine; lithium; risperidone; fluoxetine; olanzapine; buspirone; clonazepam; sertraline; aripiprazole; topiramate; diazepam; lorazepam; escitalopram; divalproex sodium; alprazolam; clozapine; oxcarbazepine; citalopram; haloperidol; lurasidone; l-methylfolate; carbamazepine; asenapine; paliperidone; quetiapine; lamotrigine; lithium; risperidone; fluoxetine; olanzapine; buspirone; clonazepam; sertraline; aripiprazole; topiramate; diazepam; lorazepam; escitalopram; divalproex sodium; alprazolam; clozapine; oxcarbazepine; citalopram; haloperidol; lurasidone; l-methylfolate; carbamazepine; asenapine; paliperidone; quetiapine; lamotrigine; lithium; risperidone; fluoxetine; olanzapine; buspirone; clonazepam; sertraline; aripiprazole; topiramate; diazepam; lorazepam; escitalopram; divalproex sodium; alprazolam; clozapine; oxcarbazepine; citalopram; haloperidol; lurasidone; l-methylfolate; carbamazepine; asenapine; paliperidone; quetiapine; lamotrigine; lithium; risperidone; fluoxetine; olanzapine; buspirone; clonazepam; sertraline; aripiprazole; topiramate; diazepam; lorazepam; escitalopram; divalproex sodium; alprazolam; clozapine; oxcarbazepine; citalopram; haloperidol; lurasidone; l-methylfolate; carbamazepine; asenapine; paliperidone; quetiapine; lamotrigine; lithium; risperidone; fluoxetine; olanzapine; buspirone; clonazepam; sertraline; aripiprazole; topiramate; diazepam; lorazepam; escitalopram; divalproex sodium; alprazolam; clozapine; oxcarbazepine; citalopram; haloperidol; lurasidone; l-methylfolate; carbamazepine; asenapine; paliperidone; quetiapine; lamotrigine; lithium; risperidone; fluoxetine; olanzapine; buspirone; clonazepam; sertraline; aripiprazole; topiramate; diazepam; lorazepam; escitalopram; divalproex sodium; alprazolam; clozapine; oxcarbazepine; citalopram; haloperidol; lurasidone; l-methylfolate; carbamazepine; asenapine; paliperidone; quetiapine; lamotrigine; lithium; risperidone; fluoxetine; olanzapine; buspirone; clonazepam; sertraline; aripiprazole; topiramate; diazepam; lorazepam; escitalopram; divalproex sodium; alprazolam; clozapine; oxcarbazepine; citalopram; haloperidol; lurasidone; l-methylfolate; carbamazepine; asenapine; paliperidone; quetiapine; lamotrigine; lithium; risperidone; fluoxetine; olanzapine; buspirone; clonazepam; sertraline; aripiprazole; topiramate; diazepam; lorazepam; escitalopram; divalproex sodium; alprazolam; clozapine; oxcarbazepine; citalopram; haloperidol; lurasidone; l-methylfolate; carbamazepine; asenapine; paliperidone; quetiapine; lamotrigine; lithium; risperidone; fluoxetine; olanzapine; buspirone; clonazepam; sertraline; aripiprazole; topiramate; diazepam; lorazepam; escitalopram; divalproex sodium; alprazolam; clozapine; oxcarbazepine; citalopram; haloperidol; lurasidone; l-methylfolate; carbamazepine; asenapine; paliperidone; quetiapine; lamotrigine; lithium; risperidone; fluoxetine; olanzapine; buspirone; clonazepam; sertraline; aripiprazole; topiramate; diazepam; lorazepam; escitalopram; divalproex sodium; alprazolam; clozapine; oxcarbazepine; citalopram; haloperidol; lurasidone; l-methylfolate; carbamazepine; asenapine; paliperidone
Botulism,botulism immune globulin; botulism antitoxin; penicillin g potassium; penicillin g sodium
Botulism Prophylaxis,botulism antitoxin
Bowel Preparation,polyethylene glycol 3350; bisacodyl; polyethylene glycol 3350 with electrolytes; magnesium sulfate / potassium sulfate / sodium sulfate; erythromycin; citric acid / magnesium oxide / sodium picosulfate; neomycin
Bradyarrhythmia,atropine; atropine; atropine; atropine
Brain Tumor,lomustine; everolimus; methotrexate; carmustine; cyclophosphamide; cisplatin; lomustine; everolimus; methotrexate; carmustine; cyclophosphamide; cisplatin; lomustine; everolimus; methotrexate; carmustine; cyclophosphamide; cisplatin; lomustine; everolimus; methotrexate; carmustine; cyclophosphamide; cisplatin; lomustine; everolimus; methotrexate; carmustine; cyclophosphamide; cisplatin
Head Injury,amantadine; risperidone; amantadine; risperidone; amantadine; risperidone; amantadine; risperidone
Breakthrough Pain,fentanyl; fentanyl
Breast Cancer,tamoxifen; anastrozole; letrozole; exemestane; cyclophosphamide; methotrexate; doxorubicin; paclitaxel; trastuzumab; capecitabine; everolimus; tamoxifen; anastrozole; letrozole; exemestane; cyclophosphamide; methotrexate; doxorubicin; paclitaxel; trastuzumab; capecitabine; everolimus; tamoxifen; anastrozole; letrozole; exemestane; cyclophosphamide; methotrexate; doxorubicin; paclitaxel; trastuzumab; capecitabine; everolimus; tamoxifen; anastrozole; letrozole; exemestane; cyclophosphamide; methotrexate; doxorubicin; paclitaxel; trastuzumab; capecitabine; everolimus; tamoxifen; anastrozole; letrozole; exemestane; cyclophosphamide; methotrexate; doxorubicin; paclitaxel; trastuzumab; capecitabine; everolimus; tamoxifen; anastrozole; letrozole; exemestane; cyclophosphamide; methotrexate; doxorubicin; paclitaxel; trastuzumab; capecitabine; everolimus; tamoxifen; anastrozole; letrozole; exemestane; cyclophosphamide; methotrexate; doxorubicin; paclitaxel; trastuzumab; capecitabine; everolimus
"Breast Cancer, Adjuvant",tamoxifen; letrozole; trastuzumab; epirubicin; paclitaxel; leuprolide; neratinib
"Breast Cancer, Male",tamoxifen; palbociclib; alpelisib
"Breast Cancer, Metastatic",letrozole; anastrozole; tamoxifen; capecitabine; fulvestrant; palbociclib; docetaxel; eribulin; trastuzumab; paclitaxel; letrozole; anastrozole; tamoxifen; capecitabine; fulvestrant; palbociclib; docetaxel; eribulin; trastuzumab; paclitaxel
"Breast Cancer, Palliative",tamoxifen; megestrol; goserelin; estradiol; testosterone; conjugated estrogens; fluorouracil; methyltestosterone; fluoxymesterone; esterified estrogens; ethinyl estradiol
"Breast Cancer, Prevention",tamoxifen; raloxifene; tamoxifen; raloxifene
Lactation Augmentation,metoclopramide; metoclopramide; metoclopramide
Osteogenesis Imperfecta,calcitonin; calcitonin
Bronchiectasis,albuterol; doxycycline; guaifenesin; amoxicillin; ipratropium; ciprofloxacin; amoxicillin / clavulanate
Respiratory Syncytial Virus,ribavirin; palivizumab; ribavirin; palivizumab; ribavirin; palivizumab
Bronchitis,azithromycin; doxycycline; amoxicillin; guaifenesin; levofloxacin; clarithromycin; amoxicillin / clavulanate; cefdinir; ciprofloxacin; cefuroxime; sulfamethoxazole / trimethoprim; erythromycin
COPD,prednisone; montelukast; budesonide / formoterol; fluticasone / vilanterol; aclidinium; levalbuterol; roflumilast; umeclidinium / vilanterol; olodaterol / tiotropium; dyphylline; fluticasone / umeclidinium / vilanterol; olodaterol; umeclidinium; prednisone; montelukast; budesonide / formoterol; fluticasone / vilanterol; aclidinium; levalbuterol; roflumilast; umeclidinium / vilanterol; olodaterol / tiotropium; dyphylline; fluticasone / umeclidinium / vilanterol; olodaterol; umeclidinium; prednisone; montelukast; budesonide / formoterol; fluticasone / vilanterol; aclidinium; levalbuterol; roflumilast; umeclidinium / vilanterol; olodaterol / tiotropium; dyphylline; fluticasone / umeclidinium / vilanterol; olodaterol; umeclidinium; prednisone; montelukast; budesonide / formoterol; fluticasone / vilanterol; aclidinium; levalbuterol; roflumilast; umeclidinium / vilanterol; olodaterol / tiotropium; dyphylline; fluticasone / umeclidinium / vilanterol; olodaterol; umeclidinium; prednisone; montelukast; budesonide / formoterol; fluticasone / vilanterol; aclidinium; levalbuterol; roflumilast; umeclidinium / vilanterol; olodaterol / tiotropium; dyphylline; fluticasone / umeclidinium / vilanterol; olodaterol; umeclidinium; prednisone; montelukast; budesonide / formoterol; fluticasone / vilanterol; aclidinium; levalbuterol; roflumilast; umeclidinium / vilanterol; olodaterol / tiotropium; dyphylline; fluticasone / umeclidinium / vilanterol; olodaterol; umeclidinium; prednisone; montelukast; budesonide / formoterol; fluticasone / vilanterol; aclidinium; levalbuterol; roflumilast; umeclidinium / vilanterol; olodaterol / tiotropium; dyphylline; fluticasone / umeclidinium / vilanterol; olodaterol; umeclidinium; prednisone; montelukast; budesonide / formoterol; fluticasone / vilanterol; aclidinium; levalbuterol; roflumilast; umeclidinium / vilanterol; olodaterol / tiotropium; dyphylline; fluticasone / umeclidinium / vilanterol; olodaterol; umeclidinium
Bronchogenic Carcinoma,cimetidine; doxorubicin; cimetidine; doxorubicin
Pneumonia,levofloxacin; clarithromycin; ceftriaxone; azithromycin; doxycycline; amoxicillin; ciprofloxacin; clindamycin; cefdinir; amoxicillin / clavulanate; sulfamethoxazole / trimethoprim; cefotaxime; metronidazole; moxifloxacin; cefuroxime; levofloxacin; clarithromycin; ceftriaxone; azithromycin; doxycycline; amoxicillin; ciprofloxacin; clindamycin; cefdinir; amoxicillin / clavulanate; sulfamethoxazole / trimethoprim; cefotaxime; metronidazole; moxifloxacin; cefuroxime; levofloxacin; clarithromycin; ceftriaxone; azithromycin; doxycycline; amoxicillin; ciprofloxacin; clindamycin; cefdinir; amoxicillin / clavulanate; sulfamethoxazole / trimethoprim; cefotaxime; metronidazole; moxifloxacin; cefuroxime
Bronchopulmonary Dysplasia,fluticasone; prednisolone; dexamethasone
Bronchospasm During Anesthesia,isoproterenol
Bronchospasm Prophylaxis,albuterol; montelukast; formoterol; salmeterol
Brucellosis,doxycycline; tetracycline; streptomycin; gentamicin; chloramphenicol; minocycline
Bruxism,onabotulinumtoxinA
